input_dtype,output_dtype,layout,m,n,k
bf16,bf16,NN,111,7168,16384
bf16,bf16,NN,80,7168,22528
fp16,fp16,NN,33,12288,18432
fp16,fp16,NN,10,6144,22528
bf16,bf16,NN,27,6144,16384
fp16,fp16,NN,40,6144,24576
fp16,fp16,NN,80,7168,18432
bf16,bf16,NN,10,7168,22528
bf16,bf16,NN,20,12288,20480
bf16,bf16,NN,14,5376,23552
fp16,fp16,NN,48,10752,18432
fp16,fp16,NN,63,6400,20992
fp16,fp16,NN,17,11776,23552
fp16,fp16,NN,14,10496,26112
fp16,fp16,NN,40,5888,18432
bf16,bf16,NN,102,5376,23552
bf16,bf16,NN,64,5888,23552
fp16,fp16,NN,42,7168,18432
bf16,bf16,NN,71,5888,18432
bf16,bf16,NN,110,5632,18432
fp16,fp16,NN,16,5632,23552
fp16,fp16,NN,21,11264,15872
bf16,bf16,NN,2,5376,20992
bf16,bf16,NN,46,6144,23552
bf16,bf16,NN,40,11008,18432
bf16,bf16,NN,76,6656,20992
fp16,fp16,NN,32,6656,26112
bf16,bf16,NN,77,6656,26112
fp16,fp16,NN,12,11776,20992
bf16,bf16,NN,99,6912,18432
bf16,bf16,NN,41,6912,15872
fp16,fp16,NN,18,7424,23552
fp16,fp16,NN,70,5632,23552
bf16,bf16,NN,48,12544,23552
bf16,bf16,NN,14,16128,18432
fp16,fp16,NN,42,11264,18432
fp16,fp16,NN,29,11776,20992
fp16,fp16,NN,55,6144,18432
bf16,bf16,NN,40,12544,20992
fp16,fp16,NN,96,7424,26112
bf16,bf16,NN,51,6144,20992
fp16,fp16,NN,32,11776,26112
fp16,fp16,NN,83,7680,18432
fp16,fp16,NN,66,7168,23552
fp16,fp16,NN,26,10752,26112
fp16,fp16,NN,26,11776,15872
fp16,fp16,NN,36,6656,26112
fp16,fp16,NN,65,5376,23552
bf16,bf16,NN,67,5376,23552
bf16,bf16,NN,72,6400,18432
bf16,bf16,NN,37,7168,20992
bf16,bf16,NN,23,10752,15872
bf16,bf16,NN,31,6656,23552
fp16,fp16,NN,19,12288,23552
fp16,fp16,NN,55,5632,20992
fp16,fp16,NN,9,15616,23552
bf16,bf16,NN,31,12800,26112
bf16,bf16,NN,42,7168,15872
bf16,bf16,NN,24,11776,20992
bf16,bf16,NN,42,12032,20992
bf16,bf16,NN,20,11520,23552
fp16,fp16,NN,96,6400,23552
fp16,fp16,NN,5,16384,18432
bf16,bf16,NN,89,7168,26112
fp16,fp16,NN,20,7168,23552
fp16,fp16,NN,64,5632,20992
fp16,fp16,NN,37,11776,18432
bf16,bf16,NN,34,5632,23552
bf16,bf16,NN,36,5376,23552
bf16,bf16,NN,76,6912,15872
bf16,bf16,NN,92,6144,15872
bf16,bf16,NN,48,10752,23552
fp16,fp16,NN,3,15872,23552
fp16,fp16,NN,34,10752,26112
fp16,fp16,NN,25,6400,20992
bf16,bf16,NN,17,6656,26112
fp16,fp16,NN,80,6144,23552
fp16,fp16,NN,28,12544,18432
bf16,bf16,NN,32,5888,18432
fp16,fp16,NN,41,5888,23552
fp16,fp16,NN,6,6144,23552
fp16,fp16,NN,8,10496,18432
bf16,bf16,NN,36,11776,26112
bf16,bf16,NN,38,10496,26112
fp16,fp16,NN,24,6656,20992
fp16,fp16,NN,11,11008,15872
bf16,bf16,NN,6,11008,15872
bf16,bf16,NN,9,11520,23552
fp16,fp16,NN,7,11264,23552
fp16,fp16,NN,111,6656,18432
fp16,fp16,NN,11,6400,23552
bf16,bf16,NN,77,5376,23552
bf16,bf16,NN,39,5632,23552
fp16,fp16,NN,36,12544,20992
bf16,bf16,NN,11,15872,23552
bf16,bf16,NN,5,6144,23552
bf16,bf16,NN,34,11008,15872
fp16,fp16,NN,19,11008,20992
bf16,bf16,NN,59,5632,20992
fp16,fp16,NN,61,7168,23552
fp16,fp16,NN,52,6656,26112
fp16,fp16,NN,48,12032,18432
bf16,bf16,NN,58,6912,18432
bf16,bf16,NN,33,6400,20992
bf16,bf16,NN,112,7680,18432
fp16,fp16,NN,4,5632,15872
bf16,bf16,NN,26,12032,26112
fp16,fp16,NN,18,12800,18432
fp16,fp16,NN,90,7168,26112
fp16,fp16,NN,40,7680,26112
bf16,bf16,NN,1,12032,26112
bf16,bf16,NN,61,6656,15872
fp16,fp16,NN,14,12032,23552
bf16,bf16,NN,22,6656,18432
fp16,fp16,NN,39,12288,18432
fp16,fp16,NN,49,6912,26112
bf16,bf16,NN,41,5376,15872
fp16,fp16,NN,53,6912,20992
bf16,bf16,NN,12,6144,23552
bf16,bf16,NN,27,6656,26112
fp16,fp16,NN,36,11776,18432
fp16,fp16,NN,90,6912,15872
bf16,bf16,NN,36,7424,23552
fp16,fp16,NN,24,5376,23552
fp16,fp16,NN,39,12288,20992
bf16,bf16,NN,74,6400,15872
bf16,bf16,NN,58,7168,23552
bf16,bf16,NN,47,10752,20992
fp16,fp16,NN,100,7680,20992
bf16,bf16,NN,9,6144,15872
fp16,fp16,NN,26,10496,18432
fp16,fp16,NN,24,12544,20992
fp16,fp16,NN,67,7680,23552
bf16,bf16,NN,105,7680,18432
bf16,bf16,NN,86,5632,18432
bf16,bf16,NN,80,7680,23552
bf16,bf16,NN,31,11264,15872
bf16,bf16,NN,68,6144,15872
fp16,fp16,NN,35,12288,26112
fp16,fp16,NN,48,12288,23552
bf16,bf16,NN,68,5376,20992
fp16,fp16,NN,11,5888,23552
fp16,fp16,NN,43,12800,18432
fp16,fp16,NN,9,11776,20992
fp16,fp16,NN,11,11008,26112
fp16,fp16,NN,95,7168,23552
fp16,fp16,NN,26,6912,23552
fp16,fp16,NN,14,12288,26112
fp16,fp16,NN,101,6400,18432
fp16,fp16,NN,4,15616,18432
fp16,fp16,NN,52,7680,26112
fp16,fp16,NN,8,12288,20992
fp16,fp16,NN,46,12800,23552
bf16,bf16,NN,17,5888,20992
fp16,fp16,NN,52,5632,18432
bf16,bf16,NN,28,6400,15872
bf16,bf16,NN,8,7168,26112
fp16,fp16,NN,9,12288,15872
fp16,fp16,NN,31,10496,20992
fp16,fp16,NN,37,6400,26112
fp16,fp16,NN,65,5376,18432
bf16,bf16,NN,34,12288,20992
bf16,bf16,NN,97,5376,18432
bf16,bf16,NN,81,6144,26112
fp16,fp16,NN,1,6144,26112
bf16,bf16,NN,76,7680,18432
fp16,fp16,NN,11,6912,23552
bf16,bf16,NN,103,7168,15872
bf16,bf16,NN,38,11520,23552
bf16,bf16,NN,46,10752,18432
fp16,fp16,NN,87,6912,26112
bf16,bf16,NN,96,6912,23552
bf16,bf16,NN,87,7680,15872
bf16,bf16,NN,41,12288,26112
fp16,fp16,NN,14,12800,23552
bf16,bf16,NN,7,7168,23552
fp16,fp16,NN,34,5632,20992
bf16,bf16,NN,33,5888,15872
bf16,bf16,NN,96,7424,18432
fp16,fp16,NN,81,5888,20992
fp16,fp16,NN,91,5376,20992
bf16,bf16,NN,14,5888,15872
fp16,fp16,NN,45,10752,20992
bf16,bf16,NN,2,11520,15872
bf16,bf16,NN,100,7680,23552
fp16,fp16,NN,22,6144,23552
fp16,fp16,NN,77,6144,18432
bf16,bf16,NN,76,7168,23552
bf16,bf16,NN,21,6912,20992
bf16,bf16,NN,3,10496,20992
bf16,bf16,NN,105,5376,18432
fp16,fp16,NN,6,16384,20992
fp16,fp16,NN,41,12032,26112
bf16,bf16,NN,35,5376,18432
bf16,bf16,NN,105,5888,23552
fp16,fp16,NN,25,11008,18432
fp16,fp16,NN,12,15616,23552
fp16,fp16,NN,25,12800,23552
bf16,bf16,NN,97,7680,18432
fp16,fp16,NN,4,5632,26112
bf16,bf16,NN,98,5888,18432
fp16,fp16,NN,99,5376,18432
bf16,bf16,NN,29,10496,20992
bf16,bf16,NN,47,11008,15872
fp16,fp16,NN,34,12032,20992
bf16,bf16,NN,9,16384,23552
bf16,bf16,NN,2,7168,18432
fp16,fp16,NN,11,15616,15872
fp16,fp16,NN,96,5632,26112
bf16,bf16,NN,35,12544,23552
bf16,bf16,NN,12,11264,18432
bf16,bf16,NN,19,11776,20992
fp16,fp16,NN,42,6144,23552
fp16,fp16,NN,102,6400,23552
fp16,fp16,NN,13,6912,18432
fp16,fp16,NN,49,6144,15872
bf16,bf16,NN,63,7680,15872
bf16,bf16,NN,25,12544,26112
fp16,fp16,NN,110,5376,15872
fp16,fp16,NN,24,11264,26112
fp16,fp16,NN,39,7424,18432
bf16,bf16,NN,53,6656,23552
bf16,bf16,NN,23,5632,23552
fp16,fp16,NN,73,5632,23552
fp16,fp16,NN,93,6656,15872
fp16,fp16,NN,40,11264,18432
fp16,fp16,NN,52,6400,26112
bf16,bf16,NN,58,7424,23552
fp16,fp16,NN,39,10496,15872
bf16,bf16,NN,93,5888,20992
fp16,fp16,NN,33,7424,18432
fp16,fp16,NN,8,7424,15872
bf16,bf16,NN,18,7424,15872
fp16,fp16,NN,53,6400,20992
fp16,fp16,NN,46,12544,15872
bf16,bf16,NN,6,10496,20992
fp16,fp16,NN,21,5888,26112
bf16,bf16,NN,10,16128,18432
fp16,fp16,NN,60,6400,20992
fp16,fp16,NN,43,7680,26112
fp16,fp16,NN,34,12032,15872
fp16,fp16,NN,38,12032,23552
bf16,bf16,NN,38,10752,18432
fp16,fp16,NN,29,11776,18432
fp16,fp16,NN,105,5632,20992
bf16,bf16,NN,45,7424,23552
fp16,fp16,NN,79,6912,15872
fp16,fp16,NN,51,6144,15872
bf16,bf16,NN,51,6912,26112
bf16,bf16,NN,52,5888,26112
fp16,fp16,NN,42,5888,23552
fp16,fp16,NN,84,7168,18432
fp16,fp16,NN,54,6400,18432
fp16,fp16,NN,11,12032,15872
fp16,fp16,NN,28,12544,20992
bf16,bf16,NN,29,7680,26112
fp16,fp16,NN,26,5632,20992
bf16,bf16,NN,58,5376,23552
fp16,fp16,NN,5,12032,18432
fp16,fp16,NN,81,6656,15872
fp16,fp16,NN,38,10496,18432
fp16,fp16,NN,43,11520,20992
fp16,fp16,NN,37,6144,23552
bf16,bf16,NN,38,5376,20992
bf16,bf16,NN,33,5888,23552
bf16,bf16,NN,104,5888,15872
bf16,bf16,NN,46,12288,15872
fp16,fp16,NN,27,12032,15872
fp16,fp16,NN,8,11008,20992
bf16,bf16,NN,26,5632,18432
bf16,bf16,NN,11,10496,26112
bf16,bf16,NN,85,5888,20992
fp16,fp16,NN,94,6656,20992
fp16,fp16,NN,15,11008,18432
fp16,fp16,NN,70,6400,18432
fp16,fp16,NN,14,5376,26112
fp16,fp16,NN,34,10752,18432
bf16,bf16,NN,29,12288,20992
bf16,bf16,NN,3,11520,26112
bf16,bf16,NN,47,11776,15872
fp16,fp16,NN,72,7680,18432
fp16,fp16,NN,41,11520,18432
fp16,fp16,NN,10,15872,15872
bf16,bf16,NN,55,7168,23552
bf16,bf16,NN,111,6144,18432
fp16,fp16,NN,28,5632,15872
bf16,bf16,NN,92,6400,18432
bf16,bf16,NN,36,12544,20992
fp16,fp16,NN,29,7424,20992
bf16,bf16,NN,4,12032,26112
bf16,bf16,NN,4,6656,20992
bf16,bf16,NN,65,6144,20992
bf16,bf16,NN,108,6400,23552
fp16,fp16,NN,67,5888,26112
bf16,bf16,NN,2,5632,23552
fp16,fp16,NN,50,7424,15872
bf16,bf16,NN,82,7680,23552
bf16,bf16,NN,74,5888,18432
fp16,fp16,NN,19,6912,15872
fp16,fp16,NN,34,7168,18432
